Geo Point,NOMBDEP,NOMBPROV,NOMBDIST,CAPITAL,POBLACION
-15.2235445028|-73.1961324499,AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,SAN JOSE DE USHUA,225
-15.2057222973|-73.4523132494,AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,PARARCA,410
-15.0482095663|-73.294388259,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,SAN JAVIER DE ALPABAMBA,285
-15.0917259549|-73.3791588848,AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,MARCABAMBA,614
-13.983270638|-73.7177638451,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,SAN SALVADOR DE QUIJE,1043
-11.2473324616|-76.8638324598,LIMA,HUARAL,LAMPIAN,LAMPIAN,390
-11.2929704853|-76.7675034402,LIMA,HUARAL,SAN MIGUEL DE ACOS,ACOS,731
-11.1470187688|-76.565521864,LIMA,HUARAL,SANTA CRUZ DE ANDAMARCA,SANTA CRUZ DE ANDAMARCA,913
-13.0090798952|-75.8255631793,LIMA,YAUYOS,AZANGARO,AZANGARO,477
-12.3558660955|-75.8816401211,LIMA,YAUYOS,CARANIA,CARANIA,181
-12.3542954885|-76.1905988691,LIMA,YAUYOS,HUAMPARA,HUAMPARA,170
-12.0903650262|-75.8348001802,LIMA,YAUYOS,HUANCAYA,HUANCAYA,641
-12.5130680574|-75.7040784211,LIMA,YAUYOS,HUANTAN,HUANTAN,1007
-12.3844900747|-75.6761913065,LIMA,YAUYOS,LARAOS,LARAOS,673
-12.2346418584|-75.8892158711,LIMA,YAUYOS,MIRAFLORES,MIRAFLORES,265
-12.4763030587|-76.2507971969,LIMA,YAUYOS,OMAS,OMAS,729
-12.350638163|-76.2843173931,LIMA,YAUYOS,QUINOCAY,QUINOCAY,511
-12.4929832418|-76.1860933548,LIMA,YAUYOS,SAN PEDRO DE PILAS,SAN PEDRO DE PILAS,335
-12.1695386885|-75.8574205408,LIMA,YAUYOS,VITIS,VITIS,373
-11.8791549153|-77.1308743343,CALLAO,CALLAO,VENTANILLA,VENTANILLA,347244
-13.5332168199|-71.9257622562,CUSCO,CUSCO,SAN SEBASTIAN,SAN SEBASTIAN,124705
-12.0428211724|-77.0904943627,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,CARMEN DE LA LEGUA REYNOSO,48492
-12.0165350529|-77.1216292343,CALLAO,CALLAO,CALLAO,CALLAO,521346
-12.0599997107|-77.1099461813,CALLAO,CALLAO,BELLAVISTA,BELLAVISTA,87471
-13.4268898548|-76.1628427518,ICA,CHINCHA,SUNAMPE,SUNAMPE,33092
-13.2584552805|-76.0888847039,ICA,CHINCHA,PUEBLO NUEVO,PUEBLO NUEVO,73095
-12.1578203594|-76.9665238387,LIMA,LIMA,SAN JUAN DE MIRAFLORES,CIUDAD DE DIOS,421017
-12.1272261836|-76.9845188056,LIMA,LIMA,SANTIAGO DE SURCO,SANTIAGO DE SURCO,410587
-12.2191748891|-76.9454413141,LIMA,LIMA,VILLA EL SALVADOR,VILLA EL SALVADOR,429509
-12.0401247629|-76.9875419285,LIMA,LIMA,EL AGUSTINO,EL AGUSTINO,220858
-11.9725186497|-77.0743776898,LIMA,LIMA,LOS OLIVOS,LAS PALMERAS,362222
-8.60481091012|-78.0468558962,ANCASH,CORONGO,BAMBAS,BAMBAS,474
-8.52329393141|-77.788932889,ANCASH,CORONGO,CUSCA,CUSCA,2931
-8.67811811655|-77.8929930522,ANCASH,CORONGO,LA PAMPA,LA PAMPA,1104
-8.62509127261|-77.8471517063,ANCASH,CORONGO,YANAC,YANAC,676
-7.14250504659|-78.6540285153,CAJAMARCA,CAJAMARCA,CHETILLA,CHETILLA,3942
-7.45302907943|-78.5168652403,CAJAMARCA,CAJAMARCA,COSPAN,COSPAN,7350
-9.46782596002|-77.236165398,ANCASH,HUARI,HUANTAR,HUANTAR,2873
-9.33162017893|-77.0925373699,ANCASH,HUARI,MASIN,MASIN,1486
